order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag,delivery_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_risk_flag,total_complaints,avg_resolution_days,avg_compensation
o00019,c0425,passenger,2024-03-31 07:18:00,6,north,central,low,56.26,phone,0,dl00109,d014,v083,h05,2024-03-31 09:02:00,2024-03-31 12:20:28.945640,ontime,16.7,1,0,3.52,16.91,1,0.0,0.0,0.0
o00020,c0249,retail,2024-05-09 22:25:00,2,west,airport,medium,100.78,app,0,dl00752,d069,v013,h01,2024-05-09 23:04:00,2024-05-09 22:49:00.000000,ontime,12.27,1,0,4.33,8.63,1,0.0,0.0,0.0
o00021,c0218,passenger,2024-10-16 11:25:00,2,west,north,medium,49.99,web,0,dl00141,d166,v094,h04,2024-10-16 12:41:00,2024-10-16 12:59:34.243920,ontime,10.45,1,0,4.77,7.89,1,0.0,0.0,0.0
o00022,c0594,retail,2025-04-20 20:56:00,12,riverside,central,medium,134.88,phone,0,dl00691,d055,v091,h01,2025-04-20 21:40:00,2025-04-21 17:33:54.635329,delayed,4.45,0,0,4.36,13.49,1,0.0,0.0,0.0
o00023,c0077,passenger,2025-10-05 04:59:00,4,north,north,medium,122.25,app,0,dl00831,d133,v053,h08,2025-10-05 05:51:00,2025-10-06 04:17:27.447541,failed,15.56,0,1,2.38,10.87,1,1.0,7.0,0.0
o00024,c0397,passenger,2024-10-10 05:01:00,6,south,riverside,high,132.2,app,1,dl00724,d003,v042,h01,2024-10-10 07:43:00,2024-10-10 10:21:10.389885,ontime,17.9,0,0,4.76,14.39,1,0.0,0.0,0.0
o00025,c0297,passenger,2025-01-10 21:51:00,6,north,riverside,critical,66.51,app,0,dl00204,d108,v062,h08,2025-01-10 22:15:00,2025-01-11 05:19:27.680020,ontime,11.32,1,0,4.64,15.67,1,0.0,0.0,0.0
o00027,c0024,parcel,2025-02-26 00:42:00,4,riverside,north,medium,96.62,app,0,dl00700,d099,v115,h06,2025-02-26 02:22:00,2025-02-26 06:50:34.860335,ontime,8.6,1,0,5.0,9.3,1,0.0,0.0,0.0
o00029,c0366,medical,2024-09-11 12:22:00,24,east,ctr,medium,190.94,web,0,dl00006,d037,v098,h03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,delayed,13.84,0,0,1.57,9.58,1,0.0,0.0,0.0
o00030,c0406,medical,2025-10-05 03:11:00,12,north,east,low,44.84,app,0,dl00268,d008,v056,h02,2025-10-05 03:47:00,nan,ontime,8.7,1,0,3.88,15.46,1,0.0,0.0,0.0
o00031,c0573,passenger,2024-10-25 03:17:00,24,east,airport,medium,55.14,app,0,dl00862,d165,v037,h01,2024-10-25 04:57:00,2024-10-26 09:32:20.877141,failed,8.4,1,0,1.41,9.28,1,2.0,7.0,39.165
o00032,c0297,passenger,2025-09-15 23:14:00,1,central,east,medium,126.43,app,1,dl00193,d017,v013,h08,2025-09-16 00:28:00,2025-09-15 23:38:00.000000,ontime,14.01,4,0,3.54,9.08,1,0.0,0.0,0.0
o00033,c0471,retail,2025-12-30 21:02:00,6,north,east,low,36.7,phone,1,dl00792,d106,v094,h08,2025-12-30 21:39:00,2025-12-31 14:37:51.118085,failed,14.69,1,0,3.2,16.8,1,0.0,0.0,0.0
o00035,c0524,business,2024-06-14 13:12:00,4,north,central,medium,209.07,web,0,dl00492,d100,v108,h06,2024-06-14 15:50:00,2024-06-15 05:51:47.019652,failed,9.55,0,0,1.99,9.2,1,0.0,0.0,0.0
o00036,c0126,parcel,2024-11-06 04:24:00,4,riverside,north,medium,73.14,app,0,dl00483,d135,v017,h06,2024-11-06 05:51:00,2024-11-06 11:52:01.051436,delayed,8.41,0,1,4.57,9.29,1,0.0,0.0,0.0
o00038,c0142,retail,2025-10-06 20:11:00,2,riverside,east,medium,168.48,phone,0,dl00869,d118,v119,h05,2025-10-06 20:46:00,2025-10-06 21:44:16.662558,ontime,9.15,2,0,5.0,10.32,1,0.0,0.0,0.0
o00039,c0351,parcel,2025-08-01 07:36:00,6,east,riverside,low,54.85,web,1,dl00106,d040,v015,h05,2025-08-01 08:30:00,2025-08-01 12:18:45.005907,ontime,18.02,0,0,4.92,15.57,1,0.0,0.0,0.0
o00042,c0606,retail,2025-12-01 18:22:00,24,riverside,ctr,medium,133.72,phone,1,dl00472,d113,v046,h01,2025-12-01 19:10:00,2025-12-03 08:16:03.110618,delayed,10.28,0,0,3.59,5.13,1,0.0,0.0,0.0
o00043,c0416,retail,2024-01-01 03:53:00,12,east,riverside,medium,48.59,api,0,dl00765,d126,v023,h06,2024-01-01 06:03:00,2024-01-01 15:35:48.325916,ontime,16.23,1,0,4.81,15.76,1,0.0,0.0,0.0
o00044,c0227,business,2025-11-02 09:57:00,4,west,riverside,medium,61.45,phone,1,dl00403,d131,v092,h07,2025-11-02 10:07:00,2025-11-02 12:43:42.885570,ontime,11.6,1,0,4.58,13.74,1,0.0,0.0,0.0
o00045,c0326,parcel,2024-02-13 18:38:00,6,south,airport,critical,56.64,nan,0,dl00110,d024,v042,h03,2024-02-13 21:24:00,2024-02-14 01:15:37.449725,ontime,14.39,1,0,4.74,8.64,1,1.0,3.0,11.17
o00047,c0220,medical,2025-11-28 03:02:00,2,west,north,medium,39.57,app,0,dl00923,d071,v012,h03,2025-11-28 04:59:00,2025-11-28 05:50:08.491873,ontime,19.03,0,0,4.7,16.28,1,0.0,0.0,0.0
o00052,c0150,retail,2024-08-14 08:33:00,12,north,riverside,medium,293.65,api,0,dl00239,d019,v010,h06,2024-08-14 09:02:00,2024-08-15 01:09:18.015871,delayed,13.6,1,0,3.72,16.0,1,0.0,0.0,0.0
o00054,c0478,medical,2025-03-29 10:44:00,4,north,north,low,54.41,web,0,dl00020,d157,v065,h01,2025-03-29 12:59:00,2025-03-29 14:40:37.791408,ontime,24.31,0,0,4.15,12.61,1,0.0,0.0,0.0
o00055,c0454,retail,2025-05-30 23:44:00,2,airport,riverside,medium,73.7,app,0,dl00445,d074,v008,h03,2025-05-31 02:19:00,2025-05-31 06:24:33.541055,delayed,37.02,0,0,3.55,21.88,1,1.0,7.0,12.97
o00056,c0271,parcel,2025-10-05 20:28:00,4,south,central,high,160.35,web,0,dl00225,d150,v044,h05,2025-10-05 20:44:00,2025-10-06 00:53:02.095072,ontime,6.21,2,0,3.98,14.94,1,1.0,1.0,10.06
o00058,c0083,passenger,2025-12-16 06:27:00,2,south,east,critical,51.95,web,0,dl00146,d052,v094,h03,2025-12-16 06:56:00,2025-12-16 09:52:51.274465,ontime,22.04,0,0,4.37,6.16,1,0.0,0.0,0.0
o00059,c0640,passenger,2025-11-20 16:54:00,2,central,airport,medium,20.32,web,0,dl00286,d038,v047,h05,2025-11-20 19:24:00,nan,delayed,13.74,0,1,3.32,7.06,1,0.0,0.0,0.0
o00060,c0258,medical,2024-05-10 15:48:00,6,north,east,critical,37.52,web,0,dl00328,d009,v072,h02,2024-05-10 18:12:00,2024-05-10 23:00:20.975877,ontime,4.02,1,0,3.26,8.95,1,0.0,0.0,0.0
o00061,c0289,passenger,2024-07-12 01:44:00,6,airport,north,high,238.9,web,1,dl00155,d048,v052,h02,2024-07-12 03:31:00,2024-07-12 08:43:58.748726,ontime,24.74,1,0,4.46,18.46,1,0.0,0.0,0.0
o00063,c0168,retail,2025-07-13 05:49:00,12,south,airport,low,57.56,app,0,dl00580,d026,v066,h04,2025-07-13 06:28:00,2025-07-13 16:43:18.243380,ontime,15.1,1,0,4.99,17.2,1,0.0,0.0,0.0
o00064,c0346,business,2025-10-14 07:34:00,12,central,riverside,high,45.43,app,0,dl00583,d015,v098,h01,2025-10-14 08:48:00,2025-10-14 21:55:17.220317,ontime,14.6,1,0,4.53,6.16,1,0.0,0.0,0.0
o00066,c0421,passenger,2024-06-21 11:22:00,4,south,east,low,237.58,app,0,dl00164,d045,v120,h03,2024-06-21 11:36:00,2024-06-21 14:46:30.898358,ontime,17.31,0,0,3.9,17.53,1,0.0,0.0,0.0
o00067,c0339,passenger,2025-02-25 02:12:00,6,west,west,critical,131.1,web,0,dl00474,d004,v017,h04,2025-02-25 03:48:00,2025-02-25 07:16:13.969650,ontime,2.66,0,0,4.36,9.21,1,0.0,0.0,0.0
o00068,c0084,parcel,2025-10-13 09:08:00,2,riverside,east,medium,40.58,app,0,dl00540,d008,v072,h04,2025-10-13 12:06:00,2025-10-13 15:29:29.316851,delayed,16.2,2,0,3.21,16.04,1,0.0,0.0,0.0
o00069,c0369,passenger,2024-05-19 21:45:00,12,airport,riverside,medium,103.29,phone,1,dl00351,d142,v050,h07,2024-05-19 21:58:00,2024-05-20 09:27:10.018280,ontime,33.129999999999995,0,0,4.53,22.56,1,0.0,0.0,0.0
o00070,c0125,retail,2025-05-13 21:30:00,4,ctr,airport,low,165.63,app,0,dl00378,d111,v037,h02,2025-05-13 23:09:00,2025-05-14 15:42:14.054302,failed,7.92,0,0,2.14,7.93,1,0.0,0.0,0.0
o00071,c0109,medical,2024-08-31 22:15:00,1,north,south,low,157.58,phone,0,dl00154,d018,v110,h08,2024-09-01 00:47:00,2024-09-01 02:07:26.317027,failed,7.04,1,0,4.2,5.23,1,1.0,10.0,18.13
o00073,c0331,passenger,2025-03-31 04:59:00,4,ctr,south,high,30.82,app,0,dl00784,d095,v039,h05,2025-03-31 05:10:00,2025-04-01 01:01:35.158033,delayed,5.24,0,1,2.29,13.26,1,1.0,12.0,0.0
o00074,c0644,parcel,2025-10-18 11:44:00,6,riverside,riverside,critical,20.6,app,0,dl00757,d135,v002,h06,2025-10-18 14:03:00,2025-10-18 21:07:10.495229,delayed,12.69,1,1,5.0,6.5,1,0.0,0.0,0.0
o00075,c0026,business,2024-11-02 04:56:00,2,north,east,medium,85.65,web,0,dl00418,d167,v019,h06,2024-11-02 06:29:00,2024-11-02 08:58:56.396803,ontime,4.73,1,0,5.0,10.5,1,0.0,0.0,0.0
o00076,c0075,retail,2025-12-25 04:37:00,4,ctr,riverside,low,100.62,phone,0,dl00653,d043,v096,h04,2025-12-25 05:43:00,2025-12-25 15:29:42.609869,delayed,12.43,3,0,2.71,13.03,1,0.0,0.0,0.0
o00077,c0543,medical,2025-07-30 07:21:00,4,riverside,central,low,150.98,app,0,dl00560,d127,v120,h08,2025-07-30 07:48:00,2025-07-30 11:13:32.980554,ontime,4.49,2,0,4.38,14.99,1,0.0,0.0,0.0
o00078,c0434,parcel,2025-10-06 03:35:00,6,west,riverside,medium,94.04,app,0,dl00714,d140,v110,h04,2025-10-06 05:23:00,2025-10-06 11:04:38.381928,ontime,10.21,0,0,4.53,20.77,1,0.0,0.0,0.0
o00079,c0353,parcel,2025-03-10 05:43:00,2,west,airport,medium,48.85,app,0,dl00827,d065,v030,h01,2025-03-10 06:56:00,2025-03-10 07:06:19.807951,ontime,16.9,2,0,4.87,11.29,1,0.0,0.0,0.0
o00080,c0082,parcel,2025-11-13 04:38:00,4,south,south,medium,135.71,app,0,dl00773,d101,v050,h03,2025-11-13 05:00:00,2025-11-13 09:21:31.940911,ontime,19.65,0,0,3.41,11.72,1,0.0,0.0,0.0
o00081,c0004,passenger,2025-04-17 12:53:00,6,west,airport,low,208.38,app,0,dl00316,d108,v095,h08,2025-04-17 15:01:00,2025-04-18 07:30:05.752336,failed,7.85,1,0,4.11,9.08,1,1.0,21.0,35.58
o00082,c0531,retail,2024-07-30 03:44:00,12,central,west,medium,36.55,app,0,dl00237,d135,v099,h06,2024-07-30 05:49:00,2024-07-30 15:01:15.776025,ontime,12.83,1,0,3.62,20.26,1,1.0,11.0,20.66
o00083,c0215,medical,2024-10-23 00:23:00,2,airport,south,low,127.88,app,0,dl00537,d153,v033,h07,2024-10-23 00:53:00,2024-10-23 01:25:13.645321,ontime,30.51,1,0,3.67,9.75,1,0.0,0.0,0.0
o00084,c0103,passenger,2025-05-13 06:02:00,4,west,north,high,157.73,phone,1,dl00705,d010,v061,h03,2025-05-13 08:46:00,2025-05-14 05:31:07.437328,failed,15.18,2,0,4.04,12.68,1,0.0,0.0,0.0
o00085,c0505,passenger,2024-03-02 08:19:00,4,north,riverside,low,23.13,app,0,dl00726,d045,v023,h03,2024-03-02 09:54:00,2024-03-02 12:02:36.698020,ontime,14.37,0,0,5.0,2.5,1,0.0,0.0,0.0
o00086,c0255,passenger,2024-07-20 03:44:00,4,central,airport,high,66.09,app,0,dl00561,d054,v005,h03,2024-07-20 06:42:00,2024-07-20 06:20:25.478336,ontime,7.67,2,0,3.5,19.2,1,0.0,0.0,0.0
o00087,c0476,business,2024-11-12 14:07:00,4,south,north,critical,56.73,phone,0,dl00028,d165,v022,h08,2024-11-12 15:52:00,2024-11-13 04:15:00.393100,delayed,15.53,2,0,2.7,13.05,1,1.0,3.0,8.27
o00088,c0157,medical,2024-06-14 10:28:00,24,riverside,east,low,101.67,app,0,dl00626,d082,v085,h05,2024-06-14 11:04:00,2024-06-15 12:38:34.881047,ontime,18.51,1,0,4.57,17.13,1,0.0,0.0,0.0
o00089,c0339,medical,2025-04-24 18:23:00,6,south,north,high,52.58,web,1,dl00807,d103,v061,h05,2025-04-24 20:33:00,2025-04-25 04:18:13.985090,failed,1.2,2,0,2.8,8.46,1,1.0,19.0,39.64
o00090,c0490,business,2024-10-23 05:35:00,4,riverside,south,medium,86.48,app,0,dl00639,d053,v073,h07,2024-10-23 06:26:00,2024-10-23 09:29:56.105722,ontime,9.72,0,0,4.45,16.68,1,0.0,0.0,0.0
o00091,c0564,parcel,2024-03-14 01:00:00,6,west,airport,critical,43.61,web,0,dl00121,d078,v100,h05,2024-03-14 02:36:00,2024-03-14 09:52:56.769516,ontime,18.81,0,0,3.92,11.62,1,0.0,0.0,0.0
o00092,c0268,retail,2025-04-24 15:05:00,6,south,east,medium,56.53,web,0,dl00457,d110,v099,h06,2025-04-24 17:52:00,2025-04-24 20:46:39.551014,ontime,14.85,2,0,4.55,10.8,1,0.0,0.0,0.0
o00094,c0361,parcel,2024-09-27 03:41:00,6,airport,north,medium,62.08,phone,0,dl00506,d077,v079,h05,2024-09-27 03:56:00,2024-09-27 16:59:08.774450,delayed,17.369999999999997,2,0,3.11,9.14,1,1.0,4.0,26.2
o00095,c0378,medical,2025-05-15 13:31:00,24,south,north,low,103.06,app,0,dl00793,d119,v043,h03,2025-05-15 14:55:00,2025-05-16 13:44:08.347336,ontime,17.36,2,0,4.7,14.29,1,0.0,0.0,0.0
o00096,c0441,business,2024-07-13 17:20:00,2,north,west,critical,153.48,web,0,dl00182,d071,v102,h04,2024-07-13 18:06:00,2024-07-13 18:46:16.627804,ontime,7.62,0,0,4.64,14.41,1,0.0,0.0,0.0
o00097,c0303,parcel,2024-01-09 11:58:00,24,airport,airport,medium,72.64,app,1,dl00007,d151,v037,h07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,delayed,32.72,0,0,4.64,17.7,1,0.0,0.0,0.0
o00099,c0079,retail,2025-10-04 19:59:00,12,airport,east,low,75.64,app,0,dl00462,d131,v058,h04,2025-10-04 22:47:00,2025-10-05 08:13:05.592425,ontime,16.049999999999997,4,0,4.99,15.19,1,0.0,0.0,0.0
o00100,c0300,passenger,2025-10-30 22:16:00,6,riverside,north,medium,23.64,web,0,dl00928,d023,v101,h05,2025-10-30 22:51:00,2025-10-31 19:39:28.294586,failed,12.72,0,1,3.15,21.6,1,0.0,0.0,0.0
o00101,c0633,parcel,2025-10-30 07:05:00,24,west,west,low,42.02,app,0,dl00046,d088,v046,h05,2025-10-30 07:35:00,2025-10-31 06:59:41.392827,ontime,5.53,2,0,3.09,11.27,1,0.0,0.0,0.0
o00102,c0253,passenger,2024-05-21 23:01:00,2,central,north,high,146.42,app,0,dl00787,d159,v071,h06,2024-05-22 00:18:00,2024-05-22 00:52:19.834138,ontime,11.22,3,0,4.01,9.72,1,0.0,0.0,0.0
o00103,c0456,business,2024-01-26 12:53:00,12,south,west,low,77.37,app,0,dl00257,d034,v038,h02,2024-01-26 14:25:00,2024-01-27 12:53:16.844122,delayed,15.88,1,0,3.54,14.05,1,0.0,0.0,0.0
o00105,c0070,passenger,2024-07-09 20:33:00,4,north,east,high,18.19,web,0,dl00111,d081,v090,h06,2024-07-09 23:17:00,2024-07-09 22:43:25.075981,ontime,18.8,0,0,5.0,20.02,1,1.0,1.0,4.09
o00106,c0065,business,2025-11-29 05:06:00,6,east,riverside,low,68.37,app,0,dl00650,d097,v035,h01,2025-11-29 06:15:00,2025-11-29 11:03:53.803798,ontime,8.16,0,0,4.26,11.01,1,0.0,0.0,0.0
o00107,c0205,medical,2024-11-13 23:39:00,2,riverside,ctr,low,182.35,app,0,dl00651,d090,v022,h04,2024-11-14 01:39:00,2024-11-14 11:26:39.070895,delayed,6.01,1,0,3.71,9.58,1,0.0,0.0,0.0
o00108,c0046,medical,2024-11-30 12:11:00,12,west,east,medium,70.18,app,0,dl00411,d122,v065,h01,2024-11-30 15:03:00,2024-11-30 22:46:22.839111,ontime,11.22,0,0,4.68,5.75,1,0.0,0.0,0.0
o00109,c0427,medical,2025-10-24 11:20:00,4,west,east,medium,9.68,app,0,dl00822,d084,v032,h03,2025-10-24 13:25:00,2025-10-24 16:28:58.560868,ontime,6.47,1,0,3.13,12.84,1,0.0,0.0,0.0
o00110,c0446,passenger,2024-08-23 11:08:00,4,central,south,low,72.23,app,0,dl00649,d075,v073,h01,2024-08-23 13:10:00,2024-08-23 14:46:36.192013,ontime,9.4,1,0,5.0,12.55,1,0.0,0.0,0.0
o00112,c0051,passenger,2024-09-16 07:03:00,2,central,west,medium,86.44,app,0,dl00756,d130,v034,h07,2024-09-16 08:59:00,2024-09-16 07:27:00.000000,ontime,13.07,3,0,3.11,16.72,1,1.0,5.0,12.4
o00113,c0640,business,2024-02-12 03:36:00,2,east,north,high,113.54,app,0,dl00685,d002,v042,h03,2024-02-12 05:54:00,2024-02-12 22:59:20.709373,failed,10.66,1,0,2.68,10.8,1,0.0,0.0,0.0
o00115,c0157,passenger,2024-02-21 06:31:00,6,east,north,high,256.93,web,0,dl00578,d032,v108,h06,2024-02-21 08:24:00,2024-02-21 14:09:53.056302,ontime,11.09,0,0,4.55,7.9,1,1.0,3.0,0.0
o00116,c0452,passenger,2025-03-09 15:46:00,4,north,airport,low,56.59,api,0,dl00810,d120,v053,h08,2025-03-09 16:49:00,2025-03-09 19:25:36.988970,ontime,15.23,0,0,5.0,11.22,1,1.0,5.0,1.45
o00117,c0516,passenger,2024-06-10 09:38:00,12,east,south,medium,87.81,phone,0,dl00697,d010,v080,h06,2024-06-10 11:21:00,2024-06-10 22:34:18.056778,ontime,13.19,1,0,5.0,10.04,1,1.0,10.0,15.62
o00118,c0087,retail,2025-08-18 20:05:00,6,south,south,medium,74.68,app,0,dl00192,d095,v112,h04,2025-08-18 22:16:00,2025-08-19 03:23:10.590397,ontime,14.13,0,0,4.64,16.49,1,0.0,0.0,0.0
o00119,c0229,medical,2024-05-25 22:14:00,4,north,north,low,66.42,app,0,dl00242,d137,v108,h07,2024-05-25 22:51:00,2024-05-26 08:01:37.790962,delayed,4.26,2,0,1.93,17.11,1,0.0,0.0,0.0
o00120,c0182,passenger,2024-06-16 04:28:00,6,airport,north,medium,85.27,phone,1,dl00380,d130,v106,h01,2024-06-16 04:55:00,2024-06-16 10:04:33.075437,ontime,39.900000000000006,2,0,3.71,19.33,1,0.0,0.0,0.0
o00121,c0604,parcel,2025-10-14 12:05:00,6,east,north,medium,75.67,app,1,dl00116,d023,v047,h06,2025-10-14 13:45:00,2025-10-15 08:06:51.715228,delayed,19.9,0,0,2.92,21.64,1,0.0,0.0,0.0
o00122,c0597,medical,2024-02-10 14:30:00,1,riverside,north,medium,27.55,app,0,dl00251,d005,v030,h06,2024-02-10 16:00:00,2024-02-11 06:46:03.568269,failed,14.27,0,0,3.89,16.33,1,0.0,0.0,0.0
o00123,c0649,retail,2024-07-14 06:46:00,2,west,east,high,21.55,app,0,dl00342,d028,v090,h08,2024-07-14 07:47:00,2024-07-15 04:17:08.927278,failed,6.8,0,0,2.47,8.94,1,0.0,0.0,0.0
o00126,c0146,parcel,2024-05-26 09:04:00,12,airport,south,medium,55.22,web,0,dl00168,d100,v066,h01,2024-05-26 09:29:00,2024-05-27 03:28:20.235783,delayed,30.51,2,0,4.3,18.34,1,1.0,4.0,19.76
o00127,c0572,parcel,2025-11-08 01:32:00,2,east,north,medium,171.31,app,0,dl00172,d132,v106,h06,2025-11-08 04:29:00,2025-11-08 16:24:08.173876,delayed,13.58,2,1,4.36,11.2,1,0.0,0.0,0.0
o00128,c0611,medical,2025-12-28 13:56:00,24,airport,airport,medium,136.66,app,0,dl00806,d117,v108,h07,2025-12-28 14:40:00,2025-12-30 04:18:53.684717,delayed,40.11,2,1,2.68,24.27,1,1.0,9.0,0.0
o00129,c0538,retail,2024-12-12 02:28:00,12,central,north,high,63.08,phone,0,dl00690,d167,v096,h01,2024-12-12 05:16:00,2024-12-13 10:27:02.080765,failed,17.64,0,0,2.59,15.08,1,1.0,10.0,30.85
o00130,c0259,passenger,2024-01-10 21:52:00,6,central,airport,medium,77.97,app,0,dl00903,d130,v051,h03,2024-01-11 00:41:00,2024-01-11 03:13:51.759410,ontime,19.22,4,0,3.42,14.82,1,0.0,0.0,0.0
o00131,c0478,retail,2024-06-29 23:10:00,24,east,west,medium,14.11,app,0,dl00269,d085,v052,h06,2024-06-29 23:38:00,2024-07-01 10:09:10.323380,delayed,16.05,1,0,1.96,13.91,1,0.0,0.0,0.0
o00132,c0224,passenger,2025-01-22 09:00:00,2,ctr,central,medium,11.07,app,0,dl00585,d149,v049,h01,2025-01-22 10:55:00,2025-01-22 23:42:49.491594,delayed,1.2,1,0,3.52,10.18,1,0.0,0.0,0.0
o00134,c0010,parcel,2024-12-22 18:12:00,4,south,west,critical,23.34,app,0,dl00847,d154,v035,h07,2024-12-22 18:38:00,2024-12-22 23:50:09.870311,ontime,1.46,0,0,4.09,7.98,1,0.0,0.0,0.0
o00135,c0364,passenger,2025-04-25 02:34:00,24,riverside,north,low,118.96,app,0,dl00386,d144,v002,h05,2025-04-25 03:12:00,2025-04-26 22:39:24.905513,failed,1.21,1,0,3.35,13.97,1,0.0,0.0,0.0
o00136,c0413,medical,2024-11-27 16:29:00,1,north,south,high,20.82,app,0,dl00218,d149,v010,h03,2024-11-27 17:12:00,2024-11-27 22:54:50.864773,delayed,3.51,1,0,3.27,4.15,1,0.0,0.0,0.0
o00137,c0295,parcel,2025-03-14 17:58:00,12,east,south,high,81.5,app,0,dl00180,d135,v054,h08,2025-03-14 19:37:00,2025-03-15 06:15:52.917076,ontime,19.65,0,0,4.25,14.94,1,0.0,0.0,0.0
o00138,c0149,business,2025-10-02 04:25:00,2,south,airport,medium,99.38,phone,0,dl00719,d124,v020,h08,2025-10-02 07:02:00,2025-10-02 12:15:45.818877,delayed,16.1,1,0,3.88,18.38,1,0.0,0.0,0.0
o00139,c0545,retail,2025-09-15 19:05:00,2,west,airport,high,4.22,web,0,dl00879,d033,v013,h02,2025-09-15 19:42:00,2025-09-16 03:58:23.662269,delayed,9.42,1,1,3.94,10.97,1,0.0,0.0,0.0
o00140,c0621,passenger,2024-03-02 23:43:00,4,north,north,low,89.5,app,0,dl00531,d163,v116,h04,2024-03-03 02:25:00,2024-03-03 03:18:14.371045,ontime,13.95,0,0,3.95,16.65,1,0.0,0.0,0.0
o00141,c0605,business,2024-12-05 19:42:00,1,north,south,high,83.09,web,0,dl00382,d163,v021,h02,2024-12-05 21:45:00,2024-12-05 20:24:16.997321,ontime,7.31,0,0,4.39,11.68,1,0.0,0.0,0.0
